residence,developer,attributes/class,attributes/construction_technology,attributes/walls,attributes/insulation,attributes/heating,attributes/num_apartments,attributes/state,attributes/protected_area,attributes/parking,financials/installmentPlan,financials/installmentPlanTerm,description,pricePerUnit,price,area,rooms
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",86225,4138800,48,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",89925,4586175,51,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",86225,4569925,53,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",86225,4569925,53,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",89925,5125725,57,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",89925,5215650,58,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",89925,5665275,63,1
ЖК Greenville на Печерську,Greenville,бізнес,монолітно-каркасна,керамоблок,базальтова вата (базальтова плита),автономне (в будинку),800,без ремонту,від авто та сторонніх,"гостьовий, наземний багаторівневий, підземний",true,,"Greenville — це об'єднання житлового простору з парковою зоною в центрі мегаполісу. Для уникнення монотонної забудови у центрі Києва, архітектори застосували перепади висот та різну поверховість секцій комплексу. В оформленні буде використаний контраст оздоблювальних матеріалів, щоб фасади не злилися в єдине полотно.Загальна стилобатна частина буде комерційною зоною, де відкриють магазини, супермаркет, салони краси, відділення банку та корисні сервіси для комфорту мешканців. Дах стилобату буде місцем для прогулянок по алеях з ландшафтним дизайном.ІнфраструктураGreenville будують в Печерському районі — однієї з ділових та культурних частин Києва. Поруч з комплексом розташовані офісні будівлі, вищі навчальні заклади, музеї та галереї.На приблизно однаковій відстані, 13-15 хвилин пішки, від Greenville відкриті 7 супермаркетів: 3 «Сільпо», 2 «Бджілка Маркета», «Еко Маркет» та «Фуршет», а за 10 хвилин на авто можна доїхати у Novus. 7 хвилин на авто їхати до торгового центру Ocean Plaza з магазинами, ресторанами, кафе, кінотеатром та публічним акваріумом, також 13 хвилин їхати до ТРЦ Gulliver.Для сімей з маленькими дітьми буде побудований дитячий садок на території комплексу. Також в пішому доступі дитячі садки Печерська: 14 хвилин до Newtone Kids і №228, 17 хвилин до садка №728 та №457 «Зайчик». Дітям дорослішого віку можна підібрати поруч школу, додаткові мовні програми або розвиваючі курси.Сходити на тренування можна буде у фітнес-клуб, який відкриють у стилобатній частині комплексу. Також для занять спортом поблизу працюють фітнес-клуби FitCurves, фітнес-студія з заняттями по TRX Hiitworks Печерськ та мережеві тренажерні зали.Особливостіконцепція подвір’я без авто — для гостей та відвідувачів комплексу передбачена зона тимчасового зберігання автодля власників собак буде облаштована зона для вигулу, а також ванні кімнати для миття лап після прогулянкивласне лобі на першому поверсі — з консьєрж-сервісом, зоною для зустрічей та коворкінгомприміщення для зберігання колясок та велосипедівспортивні майданчики для дітей різних вікових груп, міні-футбольне та баскетбольне поле",84175,5723900,68,2
